nse_symbol,name,sector,tier,tier_score,slow_growth_signal,market_cap_cr,cash_and_equivalents_cr,cash_pct_mcap,debt_to_equity,profit_5y_cagr,outreach_status
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,T1,70.9,0,450043.26,10268.77,2.28,0.067,49.47,pending
BEL,Bharat Electronics Ltd.,Industrials,T3,70.2,0,309971.18,713.45,0.23,0.003,30.42,pending
ITC,ITC Ltd.,Consumer Defensive,T1,70.1,0,388664.13,620.0,0.16,0.005,31.61,pending
GESHIP,Great Eastern Shipping Co. Ltd.,Industrials,T2,69.5,0,21639.22,4111.96,19.0,0.082,54.99,pending
EICHERMOT,Eicher Motors Ltd.,Consumer Cyclical,T3,68.9,0,191910.22,218.96,0.11,0.02,41.34,pending
HONAUT,Honeywell Automation India Ltd.,Industrials,T2,64.9,1,25803.32,3130.4,12.13,0.022,15.58,pending
NBCC,NBCC (India) Ltd.,Industrials,T2,64.3,0,25563.6,2998.69,11.73,0.0,34.11,pending
CUMMINSIND,Cummins India Ltd.,Industrials,T1,63.9,0,149175.18,234.99,0.16,0.003,28.9,pending
DLF,DLF Ltd.,Real Estate,T3,63.5,0,141451.68,313.81,0.22,0.041,42.77,pending
RELIANCE,Reliance Industries Ltd.,Energy,T1,62.3,1,1805637.81,145977.0,8.08,0.367,6.59,pending
VBL,Varun Beverages Ltd.,Consumer Defensive,T3,62.2,0,170822.86,1784.18,1.04,0.127,26.57,pending
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Industrials,T1,61.9,0,100683.64,2731.42,2.71,0.045,32.16,pending
SOLARINDS,Solar Industries India Ltd.,Basic Materials,T3,61.9,0,147896.95,588.35,0.4,0.164,39.94,pending
HYUNDAI,Hyundai Motor India Ltd.,Consumer Cyclical,T1,61.8,0,148418.76,4845.72,3.26,0.055,24.8,pending
POLYCAB,Polycab India Ltd.,Industrials,T3,61.7,0,138130.1,390.34,0.28,0.026,28.11,pending
AMBUJACEM,Ambuja Cements Ltd.,Basic Materials,T3,61.4,0,108586.51,891.59,0.82,0.012,34.61,pending
NESTLEIND,Nestle India Ltd.,Consumer Defensive,T1,61.3,0,278911.39,49.78,0.02,0.086,23.05,pending
MARUTI,Maruti Suzuki India Ltd.,Consumer Cyclical,T3,61.1,0,414193.94,66.9,0.02,0.001,21.11,pending
ENRIN,Siemens Energy India Ltd.,Utilities,T3,60.4,0,111398.07,132.2,0.12,0.045,83.35,pending
POWERINDIA,Hitachi Energy India Ltd.,Industrials,T1,60.3,0,144860.18,3762.02,2.6,0.018,23.59,pending
CIPLA,Cipla Ltd.,Healthcare,T3,59.7,0,115636.65,588.69,0.51,0.018,27.96,pending
HAL,Hindustan Aeronautics Ltd.,Industrials,T3,59.6,0,295598.53,4548.55,1.54,0.0,18.08,pending
PIDILITIND,Pidilite Industries Ltd.,Basic Materials,T1,58.7,0,149765.65,232.49,0.16,0.038,24.36,pending
BHEL,Bharat Heavy Electricals Ltd.,Industrials,T3,58.7,0,139804.84,1435.45,1.03,0.313,35.91,pending
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,T3,58.6,0,149267.98,573.48,0.38,0.334,34.98,pending
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Industrials,T3,58.4,0,415426.86,5161.55,1.24,0.641,34.11,pending
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,T1,58.3,0,110318.81,1465.4,1.33,0.203,33.87,pending
HEXT,Hexaware Technologies Ltd.,Technology,T2,58.2,1,29461.16,1970.8,6.69,0.105,15.69,pending
MOTHERSON,Samvardhana Motherson International Ltd.,Consumer Cyclical,T1,57.8,0,136969.18,5636.5,4.12,0.499,63.27,pending
TRENT,Trent Ltd.,Consumer Cyclical,T3,57.5,0,145415.71,281.36,0.19,0.36,56.97,pending
HEROMOTOCO,Hero MotoCorp Ltd.,Consumer Cyclical,T1,57.0,0,101907.33,686.71,0.67,0.036,26.9,pending
COFORGE,Coforge Ltd.,Technology,T2,56.0,0,55042.09,1093.6,1.99,0.075,30.89,pending
BSOFT,Birlasoft Ltd.,Technology,T3,56.0,1,8771.68,426.03,4.86,0.041,16.06,pending
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,T1,55.3,1,87962.4,5568.95,6.33,0.222,9.59,pending
WAAREEENER,Waaree Energies Ltd.,Technology,T3,55.0,0,87299.3,509.83,0.58,0.214,191.18,pending
ZENSARTECH,Zensar Technolgies Ltd.,Technology,T3,54.5,0,11031.92,416.3,3.77,0.017,33.22,pending
ACC,ACC Ltd.,Basic Materials,T3,54.2,0,25730.61,537.35,2.09,0.021,48.74,pending
PERSISTENT,Persistent Systems Ltd.,Technology,T2,54.1,0,73516.08,1074.91,1.46,0.061,26.51,pending
HINDUNILVR,Hindustan Unilever Ltd.,Consumer Defensive,T1,54.0,0,536458.66,2583.0,0.48,0.03,14.12,pending
UNITDSPR,United Spirits Ltd.,Consumer Defensive,T3,53.8,0,96998.96,993.0,1.02,0.049,24.06,pending
ESCORTS,Escorts Kubota Ltd.,Industrials,T3,53.6,0,33084.14,178.06,0.54,0.013,55.5,pending
APARINDS,Apar Industries Ltd.,Industrials,T3,53.5,0,51013.76,686.42,1.35,0.145,47.35,pending
LODHA,Lodha Developers Ltd.,Real Estate,T1,53.3,0,85592.04,2702.6,3.16,0.422,91.69,pending
DIXON,Dixon Technologies (India) Ltd.,Technology,T3,53.3,0,66730.05,228.38,0.34,0.185,79.26,pending
GODFRYPHLP,Godfrey Phillips India Ltd.,Consumer Defensive,T3,53.2,0,37911.37,14.25,0.04,0.03,34.76,pending
WELCORP,Welspun Corp Ltd.,Basic Materials,T3,53.1,0,34677.07,1147.12,3.31,0.183,63.22,pending
MRF,MRF Ltd.,Consumer Cyclical,T3,52.9,0,54309.96,304.59,0.56,0.153,46.67,pending
